更新时间: 2025-11-12 01:47:31（北京时间）

更新时间,#genre#
2025-11-12 01:47:31,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

东南卫视,http://115.211.60.198:8001/rtp/233.50.200.135:5140$浙江电信
海南卫视,http://121.56.186.21:4022/rtp/239.29.1.126:5000$内蒙古电信
海南卫视,http://115.211.60.198:8001/rtp/233.50.200.165:5140$浙江电信
海南卫视,http://115.211.60.198:8001/rtp/233.50.200.62:5140$浙江电信
海南卫视,http://115.211.60.198:8001/rtp/233.50.201.55:5140$浙江电信
河北卫视,http://121.56.186.21:4022/rtp/239.29.0.124:5000$内蒙古电信
河北卫视,http://115.211.60.198:8001/rtp/233.50.201.140:5140$浙江电信
河北卫视,http://115.211.60.198:8001/rtp/233.50.200.105:5140$浙江电信
河南卫视,http://121.56.186.21:4022/rtp/239.29.1.69:5001$内蒙古电信
河南卫视,http://115.211.60.198:8001/rtp/233.50.201.144:5140$浙江电信
河南卫视,http://115.211.60.198:8001/rtp/233.50.200.142:5140$浙江电信
湖北卫视,http://121.56.186.21:4022/rtp/239.29.0.107:5000$内蒙古电信
湖北卫视,http://115.211.60.198:8001/rtp/233.50.201.114:5140$浙江电信
湖北卫视,http://115.211.60.198:8001/rtp/233.50.200.147:5140$浙江电信
江西卫视,http://121.56.186.21:4022/rtp/239.29.0.125:5000$内蒙古电信
江西卫视,http://115.211.60.198:8001/rtp/233.50.201.145:5140$浙江电信
江西卫视,http://115.211.60.198:8001/rtp/233.50.200.119:5140$浙江电信
四川卫视,http://121.56.186.21:4022/rtp/239.29.0.100:5000$内蒙古电信
四川卫视,http://115.211.60.198:8001/rtp/233.50.201.139:5140$浙江电信
四川卫视,http://115.211.60.198:8001/rtp/233.50.200.118:5140$浙江电信
四川卫视,http://115.211.60.198:8001/rtp/233.50.202.109:5140$浙江电信
重庆卫视,http://121.56.186.21:4022/rtp/239.29.0.99:5000$内蒙古电信
重庆卫视,http://115.211.60.198:8001/rtp/233.50.201.143:5140$浙江电信
重庆卫视,http://115.211.60.198:8001/rtp/233.50.200.114:5140$浙江电信
贵州卫视,http://121.56.186.21:4022/rtp/239.29.0.104:5000$内蒙古电信
贵州卫视,http://115.211.60.198:8001/rtp/233.50.201.142:5140$浙江电信
